AmazonIdentifier,Bonus Amount,ApprovalStatus
A19CB2C4GY4C60,NA,"rect,tru"
A2LT6KC1X51FVW,6668,1.415416
ADJ9I7ZBFYFH7,NA,"57,8/30/"
A310N8EXJNXVCA,NA,A1IZ4NX4
A2GM5BW75YCKKW,NA,"909,39,0"
A11GWITH08KSKG,NA,",0,1.37,"
A3OKWRLKLYVH4F,NA,"DQ1IV,33"
A2OZGNW6THEMJ,NA,32860371
AUQTHU5AOZVQC,NA,2EU46QN8
A2LV5432PV1S39,NA,2/2021 7
