"build","experimentName","subject","date","time","block","StaySwitch","conc","trialnum","outcomeindex","practiceblock","cannon","hitmiss","ang","angmu","angrand","angsurprise","cannonballs_caught","cannonballs_missed","placementAngle","calculateSelectedPosition","centsearned","totalearnings","centsearned","trial.Instructions_PlaceShield.latency","trial.placeshield_mouse.latency","picture.shield.currentitem","angoddball","angsurprise","angleup","angledown"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","323.7384818130495318655","2","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1000000000000000056","1460","766","Arc56-removebg-preview.png","3.3989299778345762881","102.9950228293880343244","386.7258596062662832082","332.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","51.7346793347351834313","3","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1500000000000000222","1460","766","Arc56-removebg-preview.png","4.6890233283485285298","299.2915123839144371232","386.7258596062662832082","332.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","255.931710259972987842","3","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1500000000000000222","1460","766","Arc56-removebg-preview.png","-2.2844132161991481667","123.4754180171236868091","386.7258596062662832082","332.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","52.5993977888951533828","3","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1500000000000000222","1460","1192","Arc56-removebg-preview.png","-3.1776427796274022697","40.2305095177680556162","386.7258596062662832082","332.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","0.1485573314476193174","3","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1500000000000000222","1460","1192","Arc32-removebg-preview.png","2.5425544862279720881","5.1136739005133682312","374.7258596062662832082","344.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","91.1232555124730083662","4","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.2000000000000000111","1460","1192","Arc32-removebg-preview.png","-3.4250011300006293347","253.7532190917416698994","374.7258596062662832082","344.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","3","1","1","0","0","0","71.4847013800136465989","4","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.2000000000000000111","1460","1192","Arc32-removebg-preview.png","0.6965326497765467195","70.9381116905571218467","374.7258596062662832082","344.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","0","0","231.191066771557359516","4","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.2000000000000000111","1460","1192","Arc32-removebg-preview.png","4.2090077992056738054","127.5366671959722140173","374.7258596062662832082","344.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","0","0","57.9517069873287624659","4","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.2000000000000000111","1460","1192","Arc32-removebg-preview.png","4.6070997293684019525","101.3085889400235828361","374.7258596062662832082","344.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","303.0761098915422735445","303.0761098915422735445","96.5415804964819841416","4","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.2000000000000000111","1460","1192","Arc32-removebg-preview.png","-3.9728705829635053703","101.359340525548759615","374.7258596062662832082","344.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","303.0761098915422735445","303.0761098915422735445","171.7929790755251815426","4","0","301.5347919051882854546","301.5347919051882854546","0.0500000000000000028","0","0.2000000000000000111","1460","2076","Arc32-removebg-preview.png","2.3801740866992124879","79.47610408986827224","316.5347919051882854546","286.5347919051882854546"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","303.0761098915422735445","303.0761098915422735445","9.6810924656877972438","4","0","301.5347919051882854546","301.5347919051882854546","0.0500000000000000028","0","0.2000000000000000111","1460","2076","Arc34-removebg-preview.png","0.3860577654175791906","305.8354379483115508265","317.5347919051882854546","285.5347919051882854546"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","303.0761098915422735445","303.0761098915422735445","83.7079019480636077333","5","0","301.5347919051882854546","301.5347919051882854546","0.0500000000000000028","0","0.25","1460","2076","Arc34-removebg-preview.png","0.653368297374532947","10.6718008151910730419","317.5347919051882854546","285.5347919051882854546"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","231.899300793162382206","231.899300793162382206","39.9029193445814129859","5","0","301.5347919051882854546","301.5347919051882854546","0.0500000000000000028","0","0.25","1460","2076","Arc34-removebg-preview.png","-0.7827217138181374878","307.212825535613262673","317.5347919051882854546","285.5347919051882854546"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","231.899300793162382206","231.899300793162382206","124.3322009044541545109","5","0","237.5081008869547076756","237.5081008869547076756","0.0500000000000000028","0","0.25","1460","1518","Arc34-removebg-preview.png","-1.4791189170026430855","12.5288872356826637144","253.5081008869547076756","221.5081008869547076756"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","231.899300793162382206","231.899300793162382206","201.0679333659512906252","5","0","237.5081008869547076756","237.5081008869547076756","0.0500000000000000028","0","0.25","1460","1518","Arc22-removebg-preview.png","-2.6117409729882856695","27.4214996647605460112","247.5081008869547076756","227.5081008869547076756"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","231.899300793162382206","231.899300793162382206","244.8993715189628517237","6","0","237.5081008869547076756","237.5081008869547076756","0.0500000000000000028","0","0.3000000000000000444","1460","1518","Arc22-removebg-preview.png","-1.3045522282187913543","288.2775214613130287944","247.5081008869547076756","227.5081008869547076756"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","89.5948515109705851955","89.5948515109705851955","22.7552783262811786358","6","0","237.5081008869547076756","237.5081008869547076756","0.0500000000000000028","0","0.3000000000000000444","1460","1518","Arc22-removebg-preview.png","-1.2888507389114136625","152.2995979134690855972","247.5081008869547076756","227.5081008869547076756"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","89.5948515109705851955","89.5948515109705851955","324.5414265628302246114","6","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0","0.3000000000000000444","1460","1657","Arc22-removebg-preview.png","-3.488164582604379671","160.9730455561012547605","99.1930705448973810689","79.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","89.5948515109705851955","89.5948515109705851955","252.2508196095588743901","6","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0","0.3000000000000000444","1460","1657","Arc42-removebg-preview.png","0.6875848984526333751","260.782814757149367324","109.1930705448973810689","69.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","3","1","1","0","89.5948515109705851955","89.5948515109705851955","227.9500435637193618277","7","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0","0.3500000000000000333","1460","1657","Arc42-removebg-preview.png","-3.439026577418403896","38.9321357009308712804","109.1930705448973810689","69.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","4","1","1","0","89.5948515109705851955","89.5948515109705851955","70.0490680313783400379","0","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0.3500000000000000333","0","1460","1657","Arc42-removebg-preview.png","2.935342055697468755","222.0278656999645363612","109.1930705448973810689","69.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","4","1","1","0","89.5948515109705851955","89.5948515109705851955","292.3310753824960102065","0","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0.3500000000000000333","0","1460","1657","Arc42-removebg-preview.png","-1.863931499205121467","252.2507495368483318998","109.1930705448973810689","69.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","5","4","1","1","0","89.5948515109705851955","89.5948515109705851955","165.4488156376054348584","0","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0.3500000000000000333","0","1460","1657","Arc42-removebg-preview.png","2.7800982590015621554","17.2974278911243715129","109.1930705448973810689","69.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","1","18.7749999999999985789","0","5","4","1","1","0","108.4134156229937104854","135.2270517963171414522","263.6158829423636120737","0","0","89.1930705448973810689","89.1930705448973810689","0.0500000000000000028","0.3500000000000000333","0","1460","1657","Arc42-removebg-preview.png","-4.2175658611124484665","318.9981158354780745867","109.1930705448973810689","69.1930705448973810689"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","1","18.7749999999999985789","0","5","4","1","1","0","108.4134156229937104854","135.2270517963171414522","255.5716991367683874614","0","0","104.4282267217857196329","104.4282267217857196329","0.0500000000000000028","0.3500000000000000333","0","1460","1308","Arc42-removebg-preview.png","-0.4008135947484259276","45.0511074077922657466","124.4282267217857196329","84.4282267217857196329"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","1","18.7749999999999985789","0","5","4","1","1","0","108.4134156229937104854","135.2270517963171414522","17.0233597739188375897","0","0","104.4282267217857196329","104.4282267217857196329","0.0500000000000000028","0.3500000000000000333","0","1460","1308","Arc50-removebg-preview.png","3.3646975057016672572","322.5218583742440614515","128.4282267217857338437","80.4282267217857196329"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","1","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","135.2270517963171414522","345.1870288106582620458","0","1","104.4282267217857196329","104.4282267217857196329","0.0500000000000000028","0.3500000000000000333","0","1460","1308","Arc50-removebg-preview.png","-1.7147802703030430305","4.7105106442958373236","128.4282267217857338437","80.4282267217857196329"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","124.6084904253660852191","259.4779603880546119399","0","1","104.4282267217857196329","104.4282267217857196329","0.0500000000000000028","0.3500000000000000333","0","1460","1308","Arc50-removebg-preview.png","-3.5494740434386922168","130.69270595225799525","128.4282267217857338437","80.4282267217857196329"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","124.6084904253660852191","150.1757697458788243239","0","1","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","1175","Arc50-removebg-preview.png","-0.362319493485594557","178.7451941004826494463","127.8999874120356281537","79.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","124.6084904253660852191","42.9915955110899190572","0","1","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","1175","Arc4-removebg-preview.png","1.7048779117480943324","158.6229614910257339488","104.8999874120356281537","102.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","124.6084904253660852191","204.1145819155766218955","0","2","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","1175","Arc4-removebg-preview.png","1.7694207009353013493","24.8972753586474055965","104.8999874120356281537","102.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","124.6084904253660852191","153.1680889784284147481","0","2","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","1175","Arc4-removebg-preview.png","-1.6580145826399188547","251.7542944410243705988","104.8999874120356281537","102.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","86.093648688576791983","115.5586675544173118624","0","2","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","1175","Arc4-removebg-preview.png","1.9005592987654518211","47.6375256030907721083","104.8999874120356281537","102.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","86.093648688576791983","61.2114077576462634056","0","2","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","816","Arc4-removebg-preview.png","0.4236070961105960486","210.7942676569321918123","104.8999874120356281537","102.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","86.093648688576791983","283.9408224923398051942","0","2","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","816","Arc8-removebg-preview.png","-1.8910171886540230179","189.0568321638407383034","106.8999874120356281537","100.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","86.093648688576791983","19.2299178287456555836","0","3","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","816","Arc8-removebg-preview.png","0.0030865329961437152","303.5954687054258442913","106.8999874120356281537","100.8999874120356281537"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","2","0","18.7749999999999985789","0","6","4","1","0","0","108.4134156229937104854","86.093648688576791983","281.3255430574820934453","0","3","103.8999874120356281537","103.8999874120356281537","0.0500000000000000028","0.3500000000000000333","0","1460","816","Arc8-removebg-preview.png","2.7505278559042474207","300.5561464420883339699","106.8999874120356281537","100.8999874120356281537"
