"build","experimentName","subject","date","time","numTrialEachBlock","faceDuration","stimulusAndFeedbackGapDuration","ITI","blockNumber","blockName","faceName","trialCounter","responseName","responseTime","responseAndFeedbackCategory","isResponseCorrect","isFeedbackAccurate"
"6.4.2","Reversal_Task","550","2021-07-12","16:02:59","40","","500","2000","0","practice","","0","","","IRIF","-1","1"
"6.4.2","Reversal_Task","213690447","2021-07-23","10:27:46","40","","500","2000","0","practice","","0","","","CRIF","1","-1"
"build","experimentName","subject","date","time","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","numTrialEachBlock","ITI","instructionIndex","practiceInstructionIndex","block_number","blockName","blockNumber","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","trialCounter","isResponseCorrect","isFeedbackAccurate","trial_number","numbercorrect","numberoftimesleft","numberoftimesright","rightleft","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","348","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","12","9","12","0","left","48","1.5","4.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","348","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","12","10","12","0","left","48","1.5","5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","331","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","13","10","13","0","left","48","1.5","5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","331","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","13","11","13","0","left","48","1.5","5.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","277","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","14","11","14","0","left","48","1.5","5.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","277","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","14","12","14","0","left","48","1.5","6"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","299","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","15","12","15","0","left","48","1.5","6"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","299","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","15","13","15","0","left","48","1.5","6.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","315","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","16","13","16","0","left","48","1.5","6.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","315","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","16","14","16","0","left","48","1.5","7"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","316","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","17","14","17","0","left","48","1.5","7"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","316","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","17","15","17","0","left","48","1.5","7.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","311","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","18","15","18","0","left","48","1.5","7.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","311","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","18","16","18","0","left","48","1.5","8"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","198","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","19","16","19","0","left","48","1.5","8"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","198","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","19","16","19","0","left","48","1.5","8"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","258","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","20","16","20","0","left","48","1.5","8"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","258","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","20","17","20","0","left","48","1.5","8.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","274","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","21","17","21","0","left","48","1.5","8.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","274","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","21","18","21","0","left","48","1.5","9"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","362","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","22","18","22","0","left","48","1.5","9"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","362","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","22","19","22","0","left","48","1.5","9.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","229","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","23","19","23","0","left","48","1.5","9.5"
