"build","experimentName","subject","date","time","blockcode","trialcode","list.Condition.currentvalue","cond","percentTrialsStay","practiceblock","cannon","conc","blocknum","trialnum","StaySwitch","hitmiss","angmu","ang","outcome","placementAngle","trial.placeshield_mouse.latency","blockearnings","cannonballs_caught","cannonballs_missed","totalearnings","block.InstructionBlock.timestamp","trial.begin_block.timestamp","trial.mainloop.timestamp","trial.placeshield_mouse.timestamp","trial.showPE.timestamp","trial.cannon_outcome.timestamp","picture.shield.currentitem","list.previouspos.currentvalue","angleup","angledown","outcomeindex"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","placeshield_mouse","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","345","0","1","0","0","0","0","19632","19684","17817","19321","Arc36.png","","374.6425341554694341539","342.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","revealshield","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","345","0","1","0","0","0","0","19632","19684","20045","19321","Arc46.png","","379.6425341554694341539","337.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","cannon_outcome","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","345","0","2","0","0","0","0","19632","19684","20045","21548","Arc46.png","","379.6425341554694341539","337.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","mainloop","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","345","0","2","0","0","0","0","21866","19684","20045","21548","Arc46.png","","379.6425341554694341539","337.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","placeshield_mouse","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","271","0","2","0","0","0","0","21866","21918","20045","21548","Arc46.png","","379.6425341554694341539","337.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","revealshield","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","271","0","2","0","0","0","0","21866","21918","22205","21548","Arc26.png","","369.6425341554694341539","347.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","cannon_outcome","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","271","0","3","0","0","0","0","21866","21918","22205","23708","Arc26.png","","369.6425341554694341539","347.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","mainloop","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","271","0","3","0","0","0","0","24017","21918","22205","23708","Arc26.png","","369.6425341554694341539","347.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","placeshield_mouse","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","844","0","3","0","0","0","0","24017","24068","22205","23708","Arc26.png","","369.6425341554694341539","347.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","revealshield","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","844","0","3","0","0","0","0","24017","24068","24927","23708","Arc48.png","","380.6425341554694341539","336.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","cannon_outcome","","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","844","0","4","0","0","0","0","24017","24068","24927","26430","Arc48.png","","380.6425341554694341539","336.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","PracticeBlock_CannonMoves","","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","844","0","4","0","0","0","0","24017","24068","24927","26430","Arc48.png","","380.6425341554694341539","336.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","PracticeBlock_CannonNotAccurate","","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","844","0","4","0","0","0","0","24017","24068","24927","26430","Arc48.png","","380.6425341554694341539","336.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","ClicktoContinue","","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","1","0","0","0","358.6425341554694341539","844","0","4","0","0","0","0","24017","24068","24927","26430","Arc48.png","","380.6425341554694341539","336.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","mainloop","","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","1","235.5155493681122607086","0","235.5155493681122607086","358.6425341554694341539","844","0","4","0","0","0","0","31486","24068","24927","26430","Arc48.png","","380.6425341554694341539","336.6425341554694341539","5"
"6.4.2","Cannonball Task","1","2021-08-16","21:26:09","InstructionBlock","placeshield_mouse","","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","1","235.5155493681122607086","0","235.5155493681122607086","233.2857970239537621637","2500","0","4","0","0","0","0","31486","31537","24927","26430","Arc48.png","","255.2857970239537621637","211.2857970239537621637","5"
